Date,Squared_Meter_Price
2022-12-01,3.822
2022-11-01,3.843
2022-10-01,3.812
2022-09-01,3.795
2022-08-01,3.841
2022-07-01,3.832
2022-06-01,3.832
2022-05-01,3.803
2022-04-01,3.773
2022-03-01,3.797
2022-02-01,3.764
2022-01-01,3.692
2021-12-01,3.725
2021-11-01,3.708
2021-10-01,3.66
2021-09-01,3.601
2021-08-01,3.577
2021-07-01,3.543
2021-06-01,3.49
2021-05-01,3.46
2021-04-01,3.463
2021-03-01,3.438
2021-02-01,3.411
2021-01-01,3.425
2020-12-01,3.346
2020-11-01,3.311
2020-10-01,3.266
2020-09-01,3.268
2020-08-01,3.241
2020-07-01,3.253
2020-06-01,3.317
2020-05-01,3.357
2020-04-01,3.358
2020-03-01,3.321
2020-02-01,3.323
2020-01-01,3.303
2019-12-01,3.276
2019-11-01,3.253
2019-10-01,3.264
2019-09-01,3.223
2019-08-01,3.201
2019-07-01,3.222
2019-06-01,3.162
2019-05-01,3.07
2019-04-01,3.019
2019-03-01,3.002
2019-02-01,2.972
2019-01-01,2.98
2018-12-01,2.937
2018-11-01,2.909
2018-10-01,2.896
2018-09-01,2.853
2018-08-01,2.828
2018-07-01,2.846
2018-06-01,2.819
2018-05-01,2.734
2018-04-01,2.709
2018-03-01,2.679
2018-02-01,2.664
2018-01-01,2.642
2017-12-01,2.602
2017-11-01,2.553
2017-10-01,2.476
2017-09-01,2.41
2017-08-01,2.387
2017-07-01,2.292
2017-06-01,2.247
2017-05-01,2.215
2017-04-01,2.187
2017-03-01,2.099
2017-02-01,2.06
2017-01-01,2.014
2016-12-01,1.968
2016-11-01,1.932
2016-10-01,1.873
2016-09-01,1.813
2016-08-01,1.755
2016-07-01,1.735
2016-06-01,1.694
2016-05-01,1.666
2016-04-01,1.642
2016-03-01,1.632
2016-02-01,1.608
2016-01-01,1.52
2015-12-01,1.504
2015-11-01,1.493
2015-10-01,1.451
2015-09-01,1.439
2015-08-01,1.445
2015-07-01,1.408
2015-06-01,1.377
2015-05-01,1.358
2015-04-01,1.32
2015-03-01,1.329
2015-02-01,1.342
2015-01-01,1.338
