,Rent Index
2015-03-31,2411.441275200559
2015-04-30,2436.507086308368
2015-05-31,2465.4542281599984
2015-06-30,2495.9468330627506
2015-07-31,2527.277444386345
2015-08-31,2550.5263123554623
2015-09-30,2565.9987219048803
2015-10-31,2580.3693377825284
2015-11-30,2580.712621154145
2015-12-31,2578.2646561225683
2016-01-31,2580.599239198701
2016-02-29,2596.9007623585826
2016-03-31,2616.6020081917804
2016-04-30,2636.389729222645
2016-05-31,2653.2474082539024
2016-06-30,2671.2251562491283
2016-07-31,2686.1315984662024
2016-08-31,2690.9146314988407
2016-09-30,2678.370648371744
2016-10-31,2662.43845289429
2016-11-30,2646.8274102434525
2016-12-31,2638.0351770226425
2017-01-31,2636.607881677785
2017-02-28,2652.111185683207
2017-03-31,2674.308824485093
2017-04-30,2693.9311326104435
2017-05-31,2715.436425336588
2017-06-30,2741.0106058444026
2017-07-31,2760.7837294589626
2017-08-31,2769.405761068561
2017-09-30,2772.6645814632348
2017-10-31,2770.3259627507005
2017-11-30,2763.2939026765985
2017-12-31,2755.446072577013
2018-01-31,2759.7607993672927
2018-02-28,2767.5658244393185
2018-03-31,2780.9411998642704
2018-04-30,2795.5101990015573
2018-05-31,2815.2312519315683
2018-06-30,2834.334806050573
2018-07-31,2851.226080732527
2018-08-31,2864.483708167192
2018-09-30,2867.444719477835
2018-10-31,2866.866351694471
2018-11-30,2863.827185991502
2018-12-31,2863.5481309950355
2019-01-31,2863.7286277087064
2019-02-28,2870.964043300157
2019-03-31,2885.6669159789058
2019-04-30,2902.02130355773
2019-05-31,2918.2500485033856
2019-06-30,2936.1414753600307
2019-07-31,2953.476368318361
2019-08-31,2960.874516491906
2019-09-30,2957.8832447586738
2019-10-31,2944.523906026167
2019-11-30,2938.105286012777
2019-12-31,2935.2482920818925
2020-01-31,2949.5674501401613
2020-02-29,2962.313031835346
2020-03-31,2969.634072318907
2020-04-30,2960.8809124302365
2020-05-31,2946.5193964532323
2020-06-30,2926.574264535257
2020-07-31,2903.605888218652
2020-08-31,
2020-09-30,
2020-10-31,2750.9183376143333
2020-11-30,2729.8855121948345
2020-12-31,2712.6120690166413
2021-01-31,2714.6988407855283
2021-02-28,2716.4002712232336
2021-03-31,2750.5457179126643
2021-04-30,2778.348713339661
2021-05-31,2821.1164677196634
2021-06-30,2865.6473988679045
2021-07-31,2923.1425065676235
2021-08-31,2966.6499263976843
2021-09-30,2985.4761047167303
2021-10-31,2985.695720078776
2021-11-30,2985.4950234710777
2021-12-31,2999.470964172777
2022-01-31,3013.7673180167994
2022-02-28,3037.2408073753413
2022-03-31,3063.347438640042
2022-04-30,3092.6635775181767
2022-05-31,3123.904756784041
2022-06-30,3144.9680015413774
2022-07-31,3166.525685362441
2022-08-31,3176.060028320084
2022-09-30,3172.7226978345825
2022-10-31,3160.365781577813
2022-11-30,3137.586626284381
